medallion,pickuptime,dropofftime,passengers,pickupx,pickupy,dropoffx,dropoffy,fare,paymenttype,surcharge,mtatax,tip,tolls,total,nextpickuptime,key,trippolyline,nextpolyline
6D49E494913752B75B2685E0019FF3D5,8/1/13 0:04,8/1/13 0:14,1,-73.98378,40.727062,-73.987953,40.738171,8,CSH,0.5,0.5,0,0,9,8/1/13 0:53,0,onqwFb~pbM`AyC??yBwAqBsAyByA_C{A_C}AkCaB??[dA_BbF_AnCeEzM}D`M??iCcB_C}AuBsAqBwAuBsAuBsAuBwA??iAnD{@jC_ArCe@|A]jAIT??tBrAb@X,mtswFnwqbMNJ~@n@tBtAz@h@z@h@??|@n@r@f@|BzANJPLNVFJDHFJP`@Tj@??z@gCNg@|A}EdC}H|DaMdE{M~@oC~AcFZeA??jC`B~B|A~BzAxBxApBrA??Wx@
6D49E494913752B75B2685E0019FF3D5,8/1/13 0:53,8/1/13 1:10,1,-73.982819,40.727528,-73.989502,40.688671,17.5,CRD,0.5,0.5,2,0,20.5,8/1/13 1:14,1,_qqwFjxpbMaD`KSl@sDlL??z@h@x@j@zBxAr@d@~@l@zBvAjAv@j@`@xBvAnAx@r@b@fAr@t@f@RLTN???D@B@@BDBBHDHHDFDH@H@D@JMl@IXm@|CIX??ZHvFzA|A`@rCp@hCv@pBl@LFTHVEzBt@fEnA~@\lDzA`ClAp@\FRHJJD??HSPa@JWHOHKFIDGFGBCNMFGHGFGDCFIfFuBNIBA@AVKTMTKXMBADC@?NI`Bu@HE@ADCNI|As@TM@A@?@?NIvAq@XM@??A@?\O`Bw@dAc@bAc@lAk@p@Yn@[l@YvBaArHkDTKRKrAm@ZQbEuBx@e@x@e@b@S`@QvAo@TKVK~Au@b@U~As@VM?AVM~@a@DCv@]^Q@?`@Qd@U@ARIb@Sr@[@ABAn@YDCXMHCRKTK@?PKBAHCv@_@nDaBdBw@bAWXMHD??hAa@^MFCp@UbCaA??CvAMnKGvBClD?RAN?N??^BV@fABjBDL@JAz@@fEHxABf@@T@j@?R@pAR??TFp@Jf@HzARJBJBHDJDhBdAp@`@PJXL^Tl@^t@b@XL??J_@\qADS`@cB,o_jwFdarbMHa@HW??WOs@c@a@WOKMKi@[AAaAo@aAk@w@g@UKWIKEo@UaAk@WG??gCI
6D49E494913752B75B2685E0019FF3D5,8/1/13 1:14,8/1/13 1:28,1,-73.987312,40.692142,-73.996239,40.662334,13,CSH,0.5,0.5,0,0,14,8/1/13 1:51,2,{tjwFtsqbMfCH??VF`Aj@n@TJDVHTJv@f@`Aj@??LYxB}HHURm@DM??vBpA|BtA??hDqLfDsLbAiDtA{EXaAHY~AwFn@uB??fAh@f@ZNJfAl@t@d@~BtApAv@j@\~BtArAv@h@\|BtArAx@j@\|BrAtAx@f@ZpAv@n@\zBtAbAl@x@f@jA~@rAdAb@ZvBbBtAdA`@ZtBbBfAz@p@h@vBbBxAhA^ZvB`BvAfA`@\z@p@ZVNJNLx@n@z@p@vAhA`@ZvBbBvAhA`@ZtBbBnAbAf@^|BnBRTBBHHDDLNt@x@lBrBpAlAb@`@lAtA^`@n@r@^\^b@vAxA,ozdwFjksbMVX??sE~I??oBsBqB{BoBoBqBmBoBsBQSECGEGEGCECEAMG}@Y??UPg@Zk@f@cCrBU^sCrAIFKFw@r@sBnAaB|@kEbCqAh@mDdBeAj@QJ_D~AQH}@d@A@wAx@uDrB_@J}@VQFGBE@]JMDkDbBsBlAaAr@m@d@yAdA??_@HG@E?EACAOCKEIGIEOMq@k@MKKGWKKGIAGAE@SEKAK?O?MBG@IBKFc@Rc@RMFE@E@G@M@K@M@I?e@AiAc@GCmEcBy@Y}a@{Ou@W]MUIUEQE[CQCO?SAO@K?M@OBk@JKBYH}Br@MDUFA?q@TSF]Je@HW@]@U?m@Ee@G[IUESESE}@WkA]OE{By@{B}@iCcAaG{BoCcAeBq@{CkA]SOMOKSQKIIKOQMOUYKQS]MSCGKOKSKOKSA??CKWM[ISY{@Sq@[sAIc@I_@Ga@E[E_@Em@Ca@AEAU?IAg@?y@?c@?W?]@O?_@Bm@Dm@H}@PaCB[B[JeAHgAVyCBM?A?CHw@BUB[D]@QD[?AHi@Lk@Ha@La@N_@Rg@BC`@s@j@w@X[FIDEBA??HEJEB?DCJILIPKNIJCFAJAF?H?N?TLJHHHHLDHDJBJBL@L@J?LAHAJALCHCJCFGHQZ_Ar@EDC@A@ABKNoAj@?@OFA@s@X?@A?KDcAd@C@}@`@SHA@A?QJA?y@^SJg@Ty@`@a@NA@QF]NUJiBz@MFwBbAKFEBSJqAh@_@PEBc@PeI|DiBz@UJSHqHnDmDbBA@KDA?GDGB?@GBIBA@A?A@KD[PA?UJq@ZeAd@OFA@s@ZaBr@YLA?C@_@PoAh@OHA@A?EBGBOHqAh@UJA?A@C@QH}At@KDEBG@WLYNOHYLA@C@WJkB|@SHSDOBWBU@eAB??`@aBF[Fa@h@iCl@yCF[F[^_Bj@uCVkA\iB??U?QAGAEAMEcDoAeF{BoDwA
6D49E494913752B75B2685E0019FF3D5,8/1/13 1:51,8/1/13 1:56,1,-73.988724,40.717548,-73.990273,40.717949,5,CSH,0.5,0.5,0,0,6,8/1/13 2:14,3,usowFn|qbMnDvA??M^g@`Ck@vC??_DsA,gvowFlfrbMYM??l@wCp@_D??}@_@iBw@[MqF}BeFuBkFwB??n@}Cr@iDReA\_Br@eDp@gDVkA\}A??[Qq@e@c@Y
6D49E494913752B75B2685E0019FF3D5,8/1/13 2:14,8/1/13 2:28,1,-73.98101,40.721199,-73.9869,40.748562,12,CRD,0.5,0.5,1,0,14,8/1/13 3:10,4,ijpwF|kpbM}AeAwBuAyBwA{ByAsBuAyBwAuBwAsBuA}BwA}B{A_C_BgC_BiAs@aAm@uA_Ai@]m@a@}AeAYQGKMIWKKCG?G?K?KBI@m@LsB^y@LaALc@HWDeKbBUBO?WA_@EME??GVI\ITyAxEYx@m@lBy@hCKZm@lBiExM}D~LcC~HeCxHGTo@nBuAdE??cCaByBuA{B{A{BwA{B{A{ByA{B{A{ByAyByA{BwA??gC~H{CrJ,muuwFdqqbMsAhEAFAD?D??BBBBD@TDVBJ@H@x@Lb@DpBVd@DZBNBJ@v@HrCXl@Hl@Hx@HtCXf@Fl@Hf@FV@V@|@Jh@FXBPB`AHF?F?@ABAd@g@JKDCFAF?J?N@L@`@H~@RRF??`AcDZcAtAeEn@oBFUdCyHbC_I|D_MhEyMl@mBJ[x@iCl@mBXy@xAyEHU??Z@F?D?hEs@bGaAb@Ih@IfFy@t@MVGL?F?F@JBJBH@L@XP|AdAl@`@h@\tA~@`Al@hAr@fC~A~B~A|BzA|BvArBtAtBvAxBvArBtAzBxAxBvAvBtA`C~Ap@d@??WrA[xAs@fDo@bDu@fDg@lC
6D49E494913752B75B2685E0019FF3D5,8/1/13 3:10,8/1/13 3:27,1,-73.985329,40.722015,-73.954201,40.801388,20,CRD,0.5,0.5,5.25,0,26.25,8/1/13 3:36,5,iopwFlgqbMGZMt@a@fBMl@On@U`A??XNTeAZ{An@}Cr@iDReA\_Br@eDp@gDVkA\}AbBcIv@yDBMBORq@r@{BPi@XcAd@iD^}CDWDQBOF_@BI?E@E?G?AAE?CAEAE?EACCEAC?G??GAMAMAMCOAeDQkAEa@As@AY?]?E@IB??c@Ck@Cc@Ea@Ec@I]K]I[K_@O[OYQgFqC]SCAuBiAcB}@sAo@o@Wq@Wu@Q_AOmDYyBOm@?w@D[Da@J_@J_@P]P]TWRSPONg@l@g@r@i@r@a@b@m@f@WPSNMHGBMFqA\cBZa@FMBE@A?MBKBA?I@WDoF|@qDj@q@LSDA?G@MBG@WBU@S?M?I?UAUAYEQCSEWISGQGUKIGWMOKQMq@e@cAo@sBuAQKOIQKQIQISIQGQGQGQEQESEu@Qe@MSGQESCQEQESCSCQCWEeAMg@GgBUm@IYEQCWESG[IQEa@OUIMG[O{AaAGCoAu@SMUM_@Ue@Wg@]c@[c@]c@_@][][Y[_@c@a@c@a@c@[]Y[_@[[WwDwCIIAAKIA?EEcHyFgAw@}HmGoFcFu@q@uAeAEC[U_@W_@[iCuBWUQOOQOQOQk@u@s@cAw@kAk@k@y@i@aAk@_Am@kB}AwAiAk@e@YUUOIGGCAAECCCA?CA?AGCCCECAAA?[OIEs@]m@_@a@_@MQo@{@c@u@Yc@gAeBsBqCuEqF}@eAiAeAeB}AsCgC{AmAmB}A{CgCeAaAw@m@m@_@aAo@_CsBuB{AGEy@k@_DuCAAEE_A{@u@u@GGaCyBcA}@WWY]W[[e@S[OWSUIKOWU[U[[]QUQSSSSSSS{@u@a@]e@a@]]a@_@]]c@_@a@[_@Y[W[S[Q[QYM_@K[KYIWCYCo@?g@?g@@i@Bi@HaEx@OFKBm@P[JqAd@A@YJ}Bx@e@No@PUHi@JUF]DKBQBa@FG@s@J??KEICEAEAE?S?S?Q?KAMAUA_C]I?I@E@??CCMKGC??]v@k@fBIZE`@q@tBIRGVW~@Op@Ox@CJCHCJELWt@m@nBEHCFCHEHCFYl@EHCHCH}AbF??iCgB_C{A{BwA}B}AyByA}B{A}B{A{B{A_C}AgC_BeCcB}ByA{B{A_C{A}ByA??eC|H{AxEa@nAUr@{BfHiCbIgGtRKZ[`A??gDHgDH??uBjGI\Ob@,y_`xFrdkbMyEdO??|B|A~BzALHdAr@??AFAHAH?H@H@HBHBFDFBBDBD@B@B@F?D?DABADADCBCDAB?D?B@DBx@h@RLZJpAx@LJnBpAjAt@|@l@~@n@dAp@z@j@~@l@|@l@~@l@PLp@b@z@h@n@d@jAv@hAr@`@VVPd@ZTNxA`A~AdAFDnBpA??mFxPkFtPoBjGSd@??dAv@~@r@\R
6D49E494913752B75B2685E0019FF3D5,8/1/13 3:36,8/1/13 4:12,1,-73.972008,40.794571,-73.977364,40.683796,34,CSH,0.5,0.5,0,0,35,8/1/13 5:42,6,cu~wFftnbMNJj@\l@^b@V|A|@|B`B|BvAzB|A~B|AzBvAxBzA|BzA`CnBbCnBzBjBzBxA`CbBvBxA`CvAfCdB??aB~EyBdHIXCDo@pBQj@Qj@GPABITM`@??CAAAA?A?CAC?C?A?A?A?A@A?A?A@A?A@A??@A@A?A@A@A@?@A@A@?BA@?@A@?@AB?@?@AB?@?@?@?D?B?@?B@@?B?@@@?@?@@B?@@@@B?@@@@@@@@??@@@@@@?@@B@@?@@@?@?@?@?@?@?@?@?@?@A@?@A@?@ABABAh@?T@L?VBj@Fb@H\LXLlA\??rBrA|CtBzAbAh@\t@d@RN@B@?LLbC`C`@\ZXf@^hAz@d@\BBDBt@d@z@h@bBhABBTN?@@?TNn@`@`BfAxBvA~B|AlAv@l@`@~DjC~AdA~@l@hC`Bh@Zn@b@FDt@f@vB|A^VLFJFFBPFJDVHRDb@Fb@Fl@FfCPP@`@FRFPFl@VZVh@Z~@n@xBvA|BzAb@ZxA~@zBvAl@b@lAx@RLJHPJtA|@pBtARLJHHF~AfANJLLFHHH@?HJNTPXV`@Xb@n@dAdAbB\j@VXRXn@f@ZTVN\VLHj@^n@`@B@\PhAv@HFTN`DtB^VtCjBxAbAx@f@hBnA\R|I~FhBjARNXPFDRJPJJDLFNDNFLBVHbG`BjBh@p@Pj@Nh@Nf@N\HNDNBJBPBR@P@L?L?L?LAJALANCJCRERIRGLGRKNINIRINITIVIPELAPCD?NAJ?LAJ@P@V@RBP@p@F`BNf@BrCXl@FlAHr@NjBT`@B`@BdANXFh@Ft@Jb@Dd@FVBRBzBXjC\rAPTDRDRDTFTHRHPHRLTJRLx@b@RHRJVHVHTDTDRBTBL?t@AJAjAEdAIZA^?dBDrDNbCJ`@BrBFjAD~@D^BpBHjBHV@t@Bd@BpCLd@BvAFn@BbCLZBn@DB@j@@R?xJh@`@Br@BdBLnAF\B@?jBP??Bk@D[JaCBc@BQ@IBIBIDKFK\i@X]b@m@fA}A\g@fAgBHKJSF[Vc@t@kAh@y@~@yAv@mAlAsBz@oAh@_AdBkC~@yA^k@~AcCdBoCvAwBfBsCrAsB|AaCp@eAJQFMDIDKFUVeA`@{APu@H]Ru@DUp@mCFGDOHS??Pa@JWHOHKFIDGFGBCNMFGHGFGDCFIfFuBNIBA@AVKTMTKXMBADC@?NI`Bu@HE@ADCNI|As@TM@A@?@?NIvAq@XM@??A@?\O`Bw@dAc@bAc@lAk@p@Yn@[l@YvBaArHkDTKRKrAm@ZQbEuBx@e@x@e@b@S`@QvAo@TKVK~Au@b@U~As@VM?AVM~@a@DCv@]^Q@?`@Qd@U@ARIb@Sr@[@ABAn@YDCXMHCRKTK@?PKBAHCv@_@nDaBdBw@bAWXMHD??hAa@^MFCp@UbCaA^QXMpD{APIv@YbAa@nAk@`@QhA_@`Bk@rCiAnDyAvF{BrAi@nBu@??t@e@lEwCr@e@nAy@~@k@bAo@lEuCrAcARWnCiBl@a@,}`iwF~tobMm@`@oChBc@JKFqChBw@d@cC`BaAl@MJs@d@qD`CaAl@i@ZYR??kEbBuGhC_@NqBv@q@VmCdA_C~@o@PgDvASFc@PaDnAWNa@RsDtAYJ??MJUHm@TOF_Bz@eBv@oD`Bw@^IBC@QJA?UJSJIBYLEBo@XC@A@s@Zc@RSHA@e@Ta@PA?_@Pw@\EB_A`@WL?@WL_Br@c@T_Bt@WJUJwAn@a@Pc@Ry@d@y@d@cEtB[PsAl@SJUJsHjDwB`Am@Xo@Zq@XmAj@cAb@eAb@aBv@]NA??@A?YLwAp@OHA?A?A@UL}Ar@OHEBA@IDaBt@OHA?EBC@YLUJULWJA@C@OHgFtBw@\g@R??IPKTGNABELCJGXGRCJ@Pq@lCETSt@I\Qt@a@zAWdAGTEJEHGLKPq@dA}A`C_AvA
6D49E494913752B75B2685E0019FF3D5,8/1/13 5:42,8/1/13 5:58,1,-74.000389,40.718346,-73.952538,40.789555,18.5,CRD,0.5,0.5,3.9,0,23.4,8/1/13 6:02,7,mxowFtetbMSZgBrCwAvBeBnC_BbC_@j@_AxAeBjCi@~@{@nA??WDG@GA_@EwC_A}Bm@u@YCAq@UgCw@MEwBk@sC_AmCo@iC}@o@SeAc@UIc@OoEeBOIQG}CuAkB_A_CyAuBwA{ByAmCiBiBiA_C{Ai@_@kAw@_C}A_CwAkCcBeCiBcC}AsBsAsBuAsBsAuBuAuBuAyByAoAw@KIGEa@YeCaByBwA}ByA{B{AwBwA}ByA{ByA{ByA{B{AuByAQMuBuAgC}A{BwA{BwA{BwA}ByAwB_B??d@}A\iAn@sBTq@lB}FTu@fCaI??{BwAmAy@w@g@uA_Ao@c@yB}AmAu@q@c@{ByA}B{A}B{A{B{A}ByA}B{A}ByA{B{A{ByA}B{A}ByAeCcBgCeB{BwAiAu@s@c@{B{A}B{A{ByA}B{A{ByA}B{A_C{AyByA}ByA}B}A{B{AgCaBgCcB_C{A}B{A_C}A_C{A}B}AgCaBgCeByBwAeC_ByB}AcCwA}B}AgCgBiC_B{B{A_C{A{B{A}B{A{ByA{B{A_C{A{ByAeCcBeC_BkBmAQOgAs@y@k@eAq@,qu}wF~yjbMqDcC??gC`I??fC~AxBvAxB|AnAx@j@`@dC|A??fC}HJ_@
6D49E494913752B75B2685E0019FF3D5,8/1/13 6:02,8/1/13 6:06,1,-73.954071,40.787075,-73.944466,40.779697,5,CRD,0,0.5,1,0,6.5,8/1/13 6:36,8,yf}wFnckbMv@aCx@iCNg@`@qA|A_FhC}H|AcFBIBIDIXm@BGDIBIBGDIl@oBVu@DMBKBIBKNy@Nq@V_AFWHSp@uBZQLa@d@aB??ZNTJd@PLFJBXDZBVBX@VAV?XATAl@KvB[XEf@I??H@D?HBHBHDh@ZNB,ax{wFngibMN@~AbAbAr@|@l@??zDyLDIBCBA??B?D?nBjA|BzAzBzAhCbBdCbBdBhAXP|BzA|B|A~BzA~BzAbCbB??Ja@J[??`CxB??JH@@jB`BPL@@DB@?@?BC\Tv@j@lAz@n@f@|BpB|@p@VPh@\`At@z@t@jC|BjBbBrC`C|ArAhCxB`@`@`@b@rA`BnAxAhBxBd@r@T`@^l@r@nAFHLPHLHJNR@@TTb@b@\Zp@h@JHFDPJl@`@RLNHJFDBDBDBFBHDdBfANN^VPXJNRNpAhA|A`Al@^^V\VVVTXbAtAj@z@f@n@\`@`@\fCxBtBfBLJ\X@Bt@r@jE`EXVFH@@@?BD\VvT|PVRDBPN^TlCrBXV\\XZnCrCZZ\Zb@^b@^d@\d@Zd@Zf@VZR\PxBnA`@XTJRJFB@@HBVLNDTJPHTFTHRFTFTFTDTDRDTBVDrDd@p@HpBVTBRDTDTDRDRFTFTHVJPHNHPHPJPJrA|@jCfB??X\LNLJTP??XNRHRHRDVDVDTBD?X@X?^Ad@E\???ITyAxEYx@m@lB??SKEAA?CAC?i@HC@A@C@ABADADAD?DFlA@D@B@B@@JF
